,team_id,team_name
0,289672,magic
1,289670,K27
2,289668,ACROBATS
3,289658,K27
4,289664,ACROBATS
5,289666,Lavked
6,289656,magic
7,289654,K27
8,289662,100 Thieves
9,289660,WW Team
10,289652,HOTU
11,289650,100 Thieves
12,289648,illwill
13,289646,K27
14,288898,Natus Vincere
15,288894,PARIVISION
16,288896,Team Vitality
17,288890,PARIVISION
18,288892,Aurora Gaming
19,288486,Team Spirit
20,288476,Team Vitality
21,288470,Team Falcons
22,288460,Aurora Gaming
23,288482,Team Spirit
24,288484,The Mongolz
25,288468,FURIA Esports
26,288466,Team Falcons
27,288472,Team Vitality
28,288474,Team Spirit
29,288478,9z Team
30,288480,Team Liquid
31,288458,FURIA Esports
32,288456,Natus Vincere
33,288462,TYLOO
34,288464,B8 Esports
35,288448,Team Vitality
36,288450,The Mongolz
37,288452,Team Spirit
38,288454,Ninjas in Pyjamas
39,288440,FURIA Esports
40,288442,Aurora Gaming
41,288444,Natus Vincere
42,288446,NRG Esports
43,288328,Aurora Gaming
44,288330,Astralis
45,288324,Astralis
46,288326,Natus Vincere
47,288316,Astralis
48,288322,MOUZ
49,288318,Legacy
50,288320,The Mongolz
51,288208,FURIA Esports
52,288206,G2 Esports
53,288204,Natus Vincere
54,288166,G2 Esports
55,288172,FURIA Esports
56,288170,Astralis
57,288164,Natus Vincere
58,288162,The Mongolz
59,288168,FUT Esports
60,288080,Team Spirit
61,288092,FURIA Esports
62,288078,MOUZ
63,288088,Legacy
64,288084,Natus Vincere
65,288086,FUT Esports
66,288082,paiN Gaming
67,288090,FaZe Clan
68,288054,Team Spirit
69,288056,FURIA Esports
70,288052,FUT Esports
71,288050,MOUZ
72,288048,Legacy
73,288046,Natus Vincere
74,288042,The Mongolz
75,288044,FaZe Clan
76,287798,FURIA Esports
77,287802,MOUZ
78,287806,The Mongolz
79,287812,G2 Esports
80,287800,Team Spirit
81,287808,Aurora Gaming
82,287804,Natus Vincere
83,287810,FUT Esports
84,287748,Team 3DMAX
85,287746,G2 Esports
86,287744,PARIVISION
87,287652,Team Liquid
88,287646,G2 Esports
89,287648,Heroic
90,287650,Ninjas in Pyjamas
91,287642,PARIVISION
