,tournament
0,PGL Astana 2026. Closed European Qualifier
1,BLAST Open Spring 2026
2,ESL Pro League Season 23
3,PGL Bucharest 2026. European Qualifier
4,PGL Cluj-Napoca 2026
5,IEM Atlanta 2026. Closed Qualifier
6,IEM Krakow 2026
7,IEM Atlanta 2026. Open Qualifier
8,BLAST Bounty Winter 2026
9,IEM Rio 2026. Closed Qualifier
10,BLAST Bounty Winter 2026. Closed Qualifiers
11,IEM Rio 2026. Open Qualifier
12,StarLadder Budapest Major 2025
13,BLAST Rivals Fall 2025
14,IEM Chengdu 2025
15,PGL Masters Bucharest 2025
16,CS2 Asia Championships 2025
17,Thunderpick World Championship 2025
18,ESL Pro League Season 22
19,FISSURE PLAYGROUND 2 — CS
20,StarLadder StarSeries Fall 2025
21,Thunderpick World Championship 2025. Closed Qualifier
22,BLAST Open London 2025
23,BLAST Open London 2025. Closed Qualifiers
24,Esports World Cup 2025 по CS2
25,BLAST Bounty Fall 2025
26,StarLadder StarSeries Fall 2025. Closed Qualifier
27,CS2 Asia Championships 2025. Qualifier
28,BLAST Bounty Fall 2025. Closed Qualifiers
29,IEM Cologne 2025
30,FISSURE PLAYGROUND 1 — CS
31,ESL Pro League Season 22. European Qualifier
32,BLAST.tv Austin Major 2025
33,IEM Dallas 2025
34,PGL Astana 2025
35,Asian Champions League 2025
36,BLAST Rivals Spring 2025
37,IEM Melbourne 2025
38,BLAST.tv Austin Major 2025. Closed Qualifier
39,PGL Bucharest 2025
40,PGL Astana 2025. Closed European Qualifier
41,BLAST Open Lisbon 2025
42,PGL Astana 2025. Open Qualifier
43,ESL Pro League Season 21
44,PGL Bucharest 2025. European Qualifiers
45,PGL Cluj-Napoca 2025
46,IEM Dallas 2025: Qualifier Europe
47,IEM Katowice 2025
48,BLAST Rising Europe Spring 2025
49,BLAST Rising Europe Spring 2025. Closed Qualifier
50,BLAST Bounty Spring 2025
51,BLAST Bounty Spring 2025. Closed Qualifiers
52,Perfect World Shanghai Major 2024
53,Perfect World Shanghai Major 2024: European RMR B
54,Perfect World Shanghai Major 2024: European RMR A
55,Perfect World Shanghai Major 2024: American RMR
56,Perfect World Shanghai Major 2024: Asia-Pacific RMR
57,BLAST Premier: World Final 2024
58,Thunderpick World Championship 2024
59,IEM Rio 2024
60,BLAST Premier: Fall Final 2024
61,ESL Pro League Season 20
62,Thunderpick World Championship 2024 - Qualifiers Europe #2
63,IEM Rio 2024: Qualifier СА
64,BetBoom Dacha Belgrade 2024 #2
65,Perfect World Shanghai Major 2024: Asia‍-‍Pacific Qualifier
66,IEM Rio 2024: Qualifier Europe
67,Perfect World Shanghai Major 2024: American Qualifier
68,BLAST Premier: Fall Showdown 2024
69,Perfect World Shanghai Major 2024: EU Qualifier
70,IEM Cologne 2024
71,BetBoom Dacha Belgrade 2024 #2. European Qualifier
72,BLAST Premier: Fall Groups 2024
73,BetBoom Dacha Belgrade 2024 #2. Qualifier ЮА
74,IEM Rio 2024: Qualifier Asia
75,IEM Rio 2024: Qualifier ЮА
76,Thunderpick World Championship 2024 - Qualifiers ЮА #2
77,Esports World Cup 2024 по CS2
78,FiReLEAGUE Global Finals 2024
79,BLAST Premier: Spring Final 2024
80,ESL Challenger Jonköping 2024
81,ESL Pro League Season 20: European Conference
82,Thunderpick World Championship 2024 - Qualifiers СА #2
83,IEM Dallas 2024
84,MESA Nomadic Masters Spring 2024
85,Thunderpick World Championship 2024 - Qualifiers СА #1
86,CCT Global Finals
87,BetBoom Dacha CS2 Belgrade 2024
88,Thunderpick World Championship 2024 - Qualifiers ЮА #1
89,ESL Pro League Season 19
90,Thunderpick World Championship 2024 - Qualifiers Europe #1
91,Global Esports Tour Rio de Janeiro 2024
92,Esports World Cup 2024 по CS2. Closed Qualifier
93,Esports World Cup 2024 по CS2. Open Qualifier
94,IEM Chengdu 2024
95,BetBoom Dacha CS2 Belgrade 2024: Qualifier Europe
96,BetBoom Dacha CS2 Belgrade 2024: Qualifier ЮА
97,ESL Challenger Jonköping 2024. Closed Qualifier
98,PGL Major Copenhagen 2024
99,ESL Challenger Jonköping 2024. Open Qualifier
100,IEM Dallas 2024: Qualifier Europe
101,BLAST Premier: Spring Showdown 2024
102,PGL CS2 Major Copenhagen 2024: American RMR
103,PGL CS2 Major Copenhagen 2024: Asia-Pacific RMR
104,IEM Dallas 2024: Qualifier СА
105,IEM Dallas 2024: Qualifier ЮА
106,PGL CS2 Major Copenhagen 2024: European RMR Decider
107,IEM Dallas 2024: Qualifier Океании
108,PGL CS2 Major Copenhagen 2024: European RMR B
109,PGL CS2 Major Copenhagen 2024: European RMR A
110,IEM Katowice 2024
111,IEM Chengdu 2024. Open Qualifier
112,PGL CS2 Major Copenhagen 2024: Closed Qualifiers
113,BLAST Premier: Spring Groups 2024
114,PGL CS2 Major Copenhagen 2024: Open Qualifiers
115,ESL Challenger Atlanta 2023
116,BLAST Premier: World Final 2023
117,BetBoom Dacha
118,Elisa Masters Espoo 2023
119,BLAST Premier: Fall Final 2023
120,BetBoom Dacha. Closed Qualifier
121,ESL Challenger Atlanta 2023. Qualifiers
122,CS2 Asia Championships 2023
123,IEM Chengdu 2024. Closed Qualifier
124,Thunderpick World Championship 2023
125,IEM Sydney 2023
126,Roman Imperium Cup VII
127,JOURNEY Spring 2026
128,BC.Game Masters Championship
129,Roman Imperium Cup VI
130,CCT Season 3 European Series #17
131,NODWIN Clutch Series #5
132,CCT Season 3 European Series #16
133,Myskill Pro League Series 2
134,Parken Challenger Championship #1
135,Roman Imperium Cup V
136,CCT Season 3 European Series #15
137,IstanbuLAN 2026
138,RES Showdown Spring 2026
139,CCT Season 3 European Series #14
140,NODWIN Clutch Series #4
141,Exort Cataclysm Season 1
142,CCT Season 3 European Series #13
143,MySkill Pro League Series 1
144,Zhi-Tech Elite Masters 2026
145,Zhi-Tech Elite Masters 2026. Closed Qualifiers
146,BetBoom RUSH B! Summit 2026
147,BetBoom Streamers Battle x Динамо CS #4
148,Games Future 2025
149,MySkill Pro League Season 3
150,CCT Season 3 European Series #12
151,European Pro League Series 3
152,Galaxy Battle 2025 // Phase 5
153,ESL Impact League Season 8
154,X2ONE Masters Season 1
155,CCT Season 3 European Series #11
156,JB Pro League
157,Skyesports Chennai Esports Global Championship 2025
158,CCT Season 3 European Series #10
159,Red Bull GIBAWAY JOURNEY 2025
160,CCT Season 3 European Series #9
161,Skyesports Chennai Esports Global Championship 2025. European Qualifier
162,ESL Challenger League Season 50: Europe — Cup #3
163,Evelone Duo Cup Season 2
164,Exort The Proving Grounds Season 5
165,CCT Season 3 European Series #8
166,CCT Season 3 European Series #7
167,Birch Cup 2025
168,European Pro League Series 2
169,Exort The Proving Grounds Season 4
170,ESL Challenger League Season 50: Europe — Cup #2
171,CCT Season 3 European Series #6
172,ESL Challenger League Season 50: Europe — Cup #1
173,CCT Season 3 European Series #5
174,Perfect World CS Challenge Series #1
175,Exort The Proving Grounds Season 3
176,Thunderpick World Championship 2025: European Series #2
177,CCT Season 3 European Series #4
178,BetBoom ct0m Cup
179,CCT Season 3 European Series #3
180,CCT Season 3 European Series #2
181,Conquest of Prague 2025
182,ESL Impact League Season 7
183,CCT Season 3 European Series #1
184,ESL Challenger League Season 49 — Europe
185,BetBoom LanDaLan #2
186,Thunderpick World Championship 2025: European Series #1
187,MESA Nomadic Masters: Spring 2025
188,FiReLEAGUE Buenos Aires 2025
189,CCT Season 2 Global Finals
190,YaLLa Compass Qatar 2025
191,BetBoom LanDaLan #2. Closed Qualifier
192,YaLLa Compass Qatar 2025. Closed Qualifier
193,CCT Season 2 European Series #20
194,YaLLa Compass Winter 2025
195,CCT Season 2 European Series #19
196,CCT Season 2 European Series #18
197,CCT Season 2 European Series #17
198,BetBoom LanDaLan 2025
199,CCT Season 2 European Series #16
200,ICE Invitational 2025
201,Evelone Duo Cup
202,CCT Season 2 European Series #15
203,ESL Impact League Season 6
204,IESF World Esports Championship 2024
205,YaLLa Compass Fall 2024
206,ESL Challenger Katowice 2024
207,Elisa Masters Espoo 2024
208,ESL Challenger League Season 48 — Europe
209,ESL Impact League Season 6: European Division
210,RES Regional Champions
211,CCT Season 2 European Series #14
212,BetBoom All-Star 2x2
213,ESL Challenger Atlanta 2024
214,CCT Season 2 European Series #13
215,ESL Challenger Katowice 2024. Closed Qualifier
216,CCT Season 2 European Series #12
217,YaLLa Compass Summer 2024
218,CCT Season 2 European Series #11
219,Elisa Invitational Fall 2024
220,CCT Season 2 European Series #10
221,ESL Challenger Atlanta 2024. Qualifier Europe
222,ESL Challenger Atlanta 2024. Qualifier America
223,CCT Season 2 European Series #9
224,ESL Challenger Atlanta 2024. Qualifier Океании
225,CCT Season 2 European Series #8
226,Nordic Masters Fall 2024
227,CCT Season 2 European Series #7
228,Skyesports Championship 2024
229,CCT Season 2 European Series #6
230,IESF World Esports Championship 2024. Qualifier Западной Europe
231,IESF World Esports Championship 2024. Qualifier East Europe
232,Чемпионат России 2024 по CS2
233,BetBoom Aunkere Cup 2
234,CCT Season 2 European Series #5
235,ESL Challenger League Season 47 Relegation: Europe
236,Skyesports Championship 2024: European Qualifier
237,RES European Series #5
238,YaLLa Compass 2024
239,ESL Challenger League Season 47 — Europe
240,RES European Masters Fall 2024
241,CCT Season 2 European Series #4
242,ESL Impact League Season 5
243,CCT Season 2 European Series #3
244,RES European Series #4
245,Elisa Invitational Spring 2024
246,CCT Season 2 European Series #2
247,CCT Season 2 European Series #1
248,YaLLa Compass Spring 2024
249,ESL Challenger Melbourne 2024
250,RES European Series #2
251,Skyesports Masters 2024
252,Skyesports Masters 2024: Qualifier
253,RES European Series #1
254,ESL Challenger Melbourne 2024 - Closed Qualifiers
255,Games Future 2024
256,RES Eastern European Masters: Spring 2024
257,RES Western European Masters: Spring 2024
258,ESL Challenger League Season 46 — Europe
259,ESL Impact League Season 4
260,CCT Online Finals #5
261,ESL Challenger Jonköping 2023
262,CBCS Invitational 2023
263,"PARI, PLEASE"
264,CCT Online Finals #4
265,Roobet Cup 2023
266,ESL Challenger Jonköping 2023. Qualifiers
267,CCT East Europe Series #3
268,CCT North Europe Series #8
269,RES European Series #3
270,Copenhagen Gaming Week 2024
271,Rofl Streamers Battle
272,CIS LAN Championship #3
273,IZI WEX Season 1
274,GLuck StarPearl — Season 1
275,European Pro League Series 4
276,Roman Imperium Cup IV
277,fl0m's Mythical LAN
278,Urban Riga Open #2
279,META Cup Season 3
280,FRAG Miami 2 2026
281,Open киберспортивные Games 2025 CS2
282,ESL Challenger League Season 50: Europe
283,Majestic LanDaLan #3
284,Majestic LanDaLan #3. Closed Qualifier
285,DraculaN #1
286,Кубок России Сбера 2025 по CS2
287,European Pro League Season 27
288,Myskill Pro League Season 2
289,BetBoom Streamers Battle CS #3
290,RES Showdown Fall 2025
291,Чемпионат России Сбера 2025 по CS2
292,Национальная студенческая лига киберспорта Сбера 2025 CS2
293,Студенческая лига Сбера 2025
294,BetBoom Streamers Battle CS2 #2
295,Myskill Pro League Season 1
296,Шоу-матч Team Evelone против Imperial Female
297,BetBoom Aunkere Cup 2x2 #2
298,BetBoom Woman Cup
299,BetBoom Aunkere Cup 2x2
300,Showmatch: Team OverDrive vs Team Evelon192
301,BetBoom Streamers Battle CS2
302,Open киберспортивные Games 2024 CS2
303,Национальная Студенческая Лига Киберспорта CS2
304,A1 Gaming League Season 9
305,Friday Fight
306,European Pro League Season 20
307,Шоу-матч: Team s1mple vs Team Evelone
308,FONBET Кубок России 2024 по CS2
309,RES European Series #6
310,Regional Clash Arena CIS
311,Regional Clash Arena Europe
312,Betswap Winter Cup
313,BetBoom All-Star 5x5
314,YaLLa Compass Fall 2023
315,European Pro League Season 12
316,Svenska Cupen 2023
317,VK GG Show
318,CCT Central Europe Series #8
319,Buster CS2 League
